id,type,date,time
86766,0,2024-08-02,05:46:00
111,0,2024-08-02,05:46:00
115,0,2024-08-02,05:47:00
113,0,2024-08-02,05:48:00
86765,0,2024-08-02,05:50:00
87099,0,2024-08-02,05:52:00
86763,0,2024-08-02,05:55:00
86764,0,2024-08-02,05:55:00
86768,0,2024-08-02,05:58:00
86767,0,2024-08-02,05:58:00
116,1,2024-08-02,18:00:00
115,1,2024-08-02,18:00:00
3,1,2024-08-02,18:00:00
86766,1,2024-08-02,18:00:00
114,1,2024-08-02,18:01:00
113,1,2024-08-02,18:01:00
111,1,2024-08-02,18:01:00
87099,1,2024-08-02,18:01:00
86765,1,2024-08-02,18:01:00
86763,1,2024-08-02,18:02:00
86924,1,2024-08-02,18:02:00
86764,1,2024-08-02,18:02:00
86767,1,2024-08-02,18:02:00
86768,1,2024-08-02,18:02:00
112,1,2024-08-02,18:02:00
3,0,2024-08-03,05:39:00
112,0,2024-08-03,05:40:00
86924,0,2024-08-03,05:43:00
114,0,2024-08-03,05:43:00
86766,0,2024-08-03,05:47:00
113,0,2024-08-03,05:48:00
115,0,2024-08-03,05:49:00
111,0,2024-08-03,05:49:00
86765,0,2024-08-03,05:52:00
87099,0,2024-08-03,05:53:00
86763,0,2024-08-03,05:53:00
86764,0,2024-08-03,05:53:00
117,0,2024-08-03,05:54:00
86769,0,2024-08-03,05:55:00
86767,0,2024-08-03,05:57:00
86768,0,2024-08-03,05:57:00
116,0,2024-08-03,05:59:00
113,1,2024-08-03,14:30:00
116,1,2024-08-03,18:00:00
86765,1,2024-08-03,18:00:00
87099,1,2024-08-03,18:00:00
86764,1,2024-08-03,18:00:00
86763,1,2024-08-03,18:00:00
3,1,2024-08-03,18:00:00
86766,1,2024-08-03,18:00:00
86769,1,2024-08-03,18:00:00
115,1,2024-08-03,18:00:00
111,1,2024-08-03,18:00:00
112,1,2024-08-03,18:00:00
112,1,2024-08-03,18:01:00
86768,1,2024-08-03,18:01:00
114,1,2024-08-03,18:01:00
86924,1,2024-08-03,18:01:00
86767,1,2024-08-03,18:01:00
117,1,2024-08-03,18:02:00
112,0,2024-08-05,05:40:00
86924,0,2024-08-05,05:42:00
3,0,2024-08-05,05:42:00
116,0,2024-08-05,05:46:00
113,0,2024-08-05,05:47:00
114,0,2024-08-05,05:47:00
115,0,2024-08-05,05:48:00
111,0,2024-08-05,05:51:00
86764,0,2024-08-05,05:53:00
86763,0,2024-08-05,05:53:00
86765,0,2024-08-05,05:53:00
87099,0,2024-08-05,05:54:00
86769,0,2024-08-05,05:56:00
117,0,2024-08-05,05:58:00
86767,0,2024-08-05,05:58:00
86768,0,2024-08-05,05:59:00
3,1,2024-08-05,13:53:00
86768,1,2024-08-05,14:51:00
3,0,2024-08-05,16:06:00
113,1,2024-08-05,18:00:00
117,1,2024-08-05,18:01:00
86767,1,2024-08-05,20:00:00
86769,1,2024-08-05,20:00:00
86763,1,2024-08-05,20:00:00
86764,1,2024-08-05,20:00:00
116,1,2024-08-05,20:00:00
115,1,2024-08-05,20:00:00
111,1,2024-08-05,20:00:00
3,1,2024-08-05,20:00:00
112,1,2024-08-05,20:00:00
87099,1,2024-08-05,20:00:00
86765,1,2024-08-05,20:00:00
114,1,2024-08-05,20:00:00
86924,1,2024-08-05,20:01:00
113,0,2024-08-06,05:34:00
3,0,2024-08-06,05:37:00
115,0,2024-08-06,05:45:00
86766,0,2024-08-06,05:45:00
114,0,2024-08-06,05:45:00
116,0,2024-08-06,05:47:00
111,0,2024-08-06,05:47:00
86764,0,2024-08-06,05:51:00
86763,0,2024-08-06,05:52:00
86765,0,2024-08-06,05:52:00
86924,0,2024-08-06,05:52:00
87099,0,2024-08-06,05:52:00
86769,0,2024-08-06,05:55:00
117,0,2024-08-06,05:56:00
86767,0,2024-08-06,05:58:00
86763,0,2024-08-06,18:00:00
111,0,2024-08-06,18:00:00
117,0,2024-08-06,18:01:00
113,1,2024-08-06,18:01:00
86767,1,2024-08-06,18:01:00
86763,1,2024-08-06,18:02:00
111,1,2024-08-06,18:02:00
86764,1,2024-08-06,18:02:00
115,1,2024-08-06,18:03:00
86769,1,2024-08-06,18:03:00
3,1,2024-08-06,18:03:00
86924,1,2024-08-06,18:04:00
116,1,2024-08-06,18:04:00
86766,1,2024-08-06,18:06:00
114,1,2024-08-06,18:06:00
87099,1,2024-08-06,18:06:00
86765,1,2024-08-06,18:06:00
86766,0,2024-08-07,05:41:00
112,0,2024-08-07,05:45:00
86924,0,2024-08-07,05:46:00
114,0,2024-08-07,05:47:00
114,0,2024-08-07,05:48:00
111,0,2024-08-07,05:49:00
113,0,2024-08-07,05:50:00
116,0,2024-08-07,05:50:00
3,0,2024-08-07,05:51:00
87099,0,2024-08-07,05:51:00
86763,0,2024-08-07,05:52:00
86764,0,2024-08-07,05:52:00
86765,0,2024-08-07,05:52:00
117,0,2024-08-07,05:56:00
86767,0,2024-08-07,05:57:00
86768,0,2024-08-07,05:57:00
86769,0,2024-08-07,05:58:00
117,0,2024-08-07,18:01:00
3,1,2024-08-07,18:49:00
86769,1,2024-08-07,20:00:00
86764,1,2024-08-07,20:00:00
86767,1,2024-08-07,20:00:00
113,1,2024-08-07,20:00:00
86763,1,2024-08-07,20:00:00
112,1,2024-08-07,20:00:00
111,1,2024-08-07,20:00:00
114,1,2024-08-07,20:00:00
86768,1,2024-08-07,20:00:00
116,1,2024-08-07,20:00:00
86765,1,2024-08-07,20:01:00
87099,1,2024-08-07,20:01:00
86924,1,2024-08-07,20:02:00
86766,1,2024-08-07,20:02:00
3,0,2024-08-08,05:24:00
114,0,2024-08-08,05:42:00
112,0,2024-08-08,05:44:00
86924,0,2024-08-08,05:44:00
86766,0,2024-08-08,05:45:00
111,0,2024-08-08,05:46:00
116,0,2024-08-08,05:47:00
115,0,2024-08-08,05:49:00
86764,0,2024-08-08,05:50:00
86763,0,2024-08-08,05:50:00
87099,0,2024-08-08,05:52:00
117,0,2024-08-08,05:53:00
113,0,2024-08-08,05:53:00
86765,0,2024-08-08,05:53:00
86767,0,2024-08-08,05:56:00
86768,0,2024-08-08,05:56:00
4,0,2024-08-08,13:17:00
117,0,2024-08-08,18:01:00
113,1,2024-08-08,18:03:00
115,1,2024-08-08,20:00:00
86763,1,2024-08-08,20:00:00
86764,1,2024-08-08,20:00:00
4,1,2024-08-08,20:00:00
116,1,2024-08-08,20:00:00
111,1,2024-08-08,20:00:00
112,1,2024-08-08,20:00:00
86768,1,2024-08-08,20:00:00
86767,1,2024-08-08,20:00:00
86766,1,2024-08-08,20:00:00
87099,1,2024-08-08,20:00:00
